timestamp,MQ3,MQ135,MQ8,MQ5,MQ7,MQ4,MQ6,MQ2,MQ9,BMPTemperature,Pressure(Pa),DHTTemperature,Humidity,Target
2024-09-13 15:29:01,717,894,863,390,955,833,756,729,700,36.02,82826.82,37.00,59.00,TallHorse
2024-09-13 15:29:01,714,893,860,391,954,831,755,727,700,36.04,82825.97,37.00,59.00,TallHorse
2024-09-13 15:29:02,715,895,861,392,955,832,754,727,698,36.06,82826.88,37.00,59.00,TallHorse
2024-09-13 15:29:02,713,894,859,390,954,832,754,726,698,36.06,82826.35,37.00,59.00,TallHorse
2024-09-13 15:29:03,714,894,860,391,954,833,756,729,698,36.07,82826.17,37.00,59.00,TallHorse
2024-09-13 15:29:03,713,893,862,390,953,832,756,726,698,36.06,82851.49,37.00,59.00,TallHorse
2024-09-13 15:29:04,715,894,859,391,955,832,754,727,697,36.07,83423.35,37.00,59.00,TallHorse
2024-09-13 15:29:05,713,895,858,390,953,831,754,727,697,36.08,84060.51,37.00,59.00,TallHorse
2024-09-13 15:29:05,715,895,860,391,954,832,754,730,698,36.08,84225.55,37.00,59.00,TallHorse
2024-09-13 15:29:06,715,893,858,391,955,832,755,729,699,36.08,84363.69,37.00,59.00,TallHorse
2024-09-13 15:29:06,714,893,859,391,954,833,756,732,698,36.09,84425.18,37.00,59.00,TallHorse
2024-09-13 15:29:07,714,893,860,391,952,831,754,732,698,36.09,84459.60,37.00,59.00,TallHorse
2024-09-13 15:29:07,713,895,859,389,953,833,754,734,698,36.09,84491.58,37.00,59.00,TallHorse
2024-09-13 15:29:08,713,893,859,391,954,831,755,734,698,36.10,84482.69,37.00,59.00,TallHorse
2024-09-13 15:29:08,714,892,861,389,953,831,757,733,699,36.11,84519.91,37.00,59.00,TallHorse
2024-09-13 15:29:09,712,893,861,390,956,831,755,734,699,36.10,84549.07,37.00,59.00,TallHorse
2024-09-13 15:29:09,712,895,858,391,953,831,755,735,699,36.11,84542.28,37.00,59.00,TallHorse
2024-09-13 15:29:10,713,892,859,391,955,831,756,735,701,36.11,84573.03,37.00,59.00,TallHorse
2024-09-13 15:29:10,713,895,859,389,952,832,756,736,700,36.10,84602.51,37.00,59.00,TallHorse
2024-09-13 15:29:11,715,892,861,389,955,832,758,735,701,36.11,84582.47,37.00,59.00,TallHorse
2024-09-13 15:29:11,712,893,860,389,955,834,756,737,699,36.11,84581.25,37.00,59.00,TallHorse
2024-09-13 15:29:12,714,892,861,390,956,834,757,735,700,36.11,84599.96,37.00,59.00,TallHorse
2024-09-13 15:29:12,713,893,861,390,955,832,758,736,700,36.12,84565.36,37.00,59.00,TallHorse
2024-09-13 15:29:13,715,893,861,392,952,834,758,738,702,36.11,84582.14,37.00,59.00,TallHorse
2024-09-13 15:29:13,713,894,860,392,953,832,758,736,700,36.12,84637.16,37.00,59.00,TallHorse
2024-09-13 15:29:14,715,895,863,392,955,834,758,738,702,36.12,84611.66,37.00,59.00,TallHorse
2024-09-13 15:29:14,714,893,862,391,954,834,758,739,702,36.12,84581.09,37.00,59.00,TallHorse
2024-09-13 15:29:15,715,895,863,391,955,833,758,739,701,36.11,84570.08,37.00,59.00,TallHorse
2024-09-13 15:29:15,714,894,863,391,952,833,760,737,702,36.11,84411.16,37.00,59.00,TallHorse
2024-09-13 15:29:16,713,895,862,393,954,832,759,739,701,36.12,83970.67,37.00,59.00,TallHorse
2024-09-13 15:29:16,713,893,864,394,954,833,758,737,702,36.12,83381.89,37.00,59.00,TallHorse
2024-09-13 15:29:17,715,895,862,392,953,833,760,738,701,36.12,83183.90,37.00,59.00,TallHorse
2024-09-13 15:29:17,714,893,865,392,954,833,759,738,702,36.11,83136.08,37.00,59.00,TallHorse
2024-09-13 15:29:18,714,895,864,394,954,833,759,736,702,36.11,83086.14,37.00,59.00,TallHorse
2024-09-13 15:29:18,714,895,862,394,955,834,759,736,702,36.11,83013.86,37.00,59.00,TallHorse
2024-09-13 15:29:19,715,894,863,394,955,834,760,736,702,36.11,82970.93,37.00,58.00,TallHorse
2024-09-13 15:29:19,716,895,865,394,955,834,760,736,702,36.11,82938.28,37.00,58.00,TallHorse
2024-09-13 15:29:20,715,894,863,393,953,834,759,735,703,36.11,82918.91,37.00,58.00,TallHorse
2024-09-13 15:29:20,716,895,863,393,953,834,760,736,702,36.11,82899.18,37.00,58.00,TallHorse
2024-09-13 15:29:21,714,895,866,395,955,833,760,736,703,36.11,82882.58,37.00,58.00,TallHorse
2024-09-13 15:29:21,715,893,864,395,955,833,759,734,702,36.11,82873.68,37.00,58.00,TallHorse
2024-09-13 15:29:22,717,895,867,394,952,835,760,735,702,36.10,82867.75,37.00,58.00,TallHorse
2024-09-13 15:29:22,717,895,865,396,953,834,759,735,702,36.11,82857.10,37.00,58.00,TallHorse
